# Major Powers!
UNN	= "countries/United Nations.txt"
UZB	= "countries/Uzbekistan.txt"
YEM	= "countries/Yemen.txt"
CYN	= "countries/Yunnan.txt"

# South America
BOL	= "countries/Bolivia.txt"
CHL	= "countries/Chile.txt"
ECU	= "countries/Ecuador.txt"
FKL	= "countries/Falkland Islands.txt"
GUY	= "countries/Guyana.txt"
PAR	= "countries/Paraguay.txt"
PRU	= "countries/Peru.txt"
SOG	= "countries/South Georgia.txt"
SUR	= "countries/Suriname.txt"
URU	= "countries/Uruguay.txt"

# Central America
BLZ	= "countries/Belize.txt"
COS	= "countries/Costa Rica.txt"
SAL	= "countries/El Salvador.txt"
GUA	= "countries/Guatemala.txt"
HON	= "countries/Honduras.txt"
NIC	= "countries/Nicaragua.txt"
PAN	= "countries/Panama.txt"

# Carribean
AGB	= "countries/Antigua and Barbuda.txt"
AGL	= "countries/Anguilla.txt"
ARU	= "countries/Aruba.txt"
BHM	= "countries/Bahamas.txt"
BAR	= "countries/Barbados.txt"
BRM	= "countries/Bermuda.txt"
CAY	= "countries/Cayman Islands.txt"
CUB	= "countries/Cuba.txt"
DMN	= "countries/Dominica.txt"
DOM	= "countries/Dominican Republic.txt"
GRN	= "countries/Grenada.txt"
GDP	= "countries/Guadeloupe.txt"
HAI	= "countries/Haiti.txt"
JMC	= "countries/Jamaica.txt"
MNS	= "countries/Montserrat.txt"
PRC	= "countries/Puerto Rico.txt"
SKN	= "countries/Saint Kitts and Nevis.txt"
SLC	= "countries/Saint Lucia.txt"
SVG	= "countries/Saint Vincent and Grenadines.txt"
TRI	= "countries/Trinidad and Tobago.txt"
TCI	= "countries/Turks and Caicos Islands.txt"
VGI	= "countries/Virgin Islands.txt"

# Africa
ANG	= "countries/Angola.txt"
BIF	= "countries/Biafra.txt"
BEN	= "countries/Benin.txt"
BRD	= "countries/Burundi.txt"
BKN	= "countries/Burkina Faso.txt"
BOT	= "countries/Botswana.txt"
CAM	= "countries/Cameroon.txt"
CAR	= "countries/Central African Republic.txt"
CDI	= "countries/Ivory Coast.txt"
CHD	= "countries/Chad.txt"
COM	= "countries/Comoros.txt"
CPV	= "countries/Cape Verde.txt"
DJI	= "countries/Djibouti.txt"
DLY	= "countries/Democratic Libya.txt"
DRC	= "countries/Democratic Congo.txt"
EAF	= "countries/East African Union.txt"
EQG	= "countries/Equatorial Guinea.txt"
EQT	= "countries/Equateur.txt"
ERI	= "countries/Eritrea.txt"
GAB	= "countries/Gabon.txt"
GAM	= "countries/Gambia.txt"
GUB	= "countries/Guinea Bissau.txt"
GUI	= "countries/Guinea.txt"
KAS	= "countries/Kasai.txt"
KAT	= "countries/Katanga.txt"
KIV	= "countries/Kivu.txt"
LST	= "countries/Lesotho.txt"
LIB	= "countries/Liberia.txt"
LBY	= "countries/Libya.txt"
MAD	= "countries/Madagascar.txt"
MAL	= "countries/Mali.txt"
MRA	= "countries/Mauritania.txt"
MLW	= "countries/Malawi.txt"
MOR	= "countries/Morocco.txt"
MOZ	= "countries/Mozambique.txt"
MRT	= "countries/Mauritius.txt"
NAM	= "countries/Namibia.txt"
NGR	= "countries/Niger.txt"
ORN	= "countries/Orientale.txt"
PTL	= "countries/Puntland.txt"
CNG	= "countries/Republic of the Congo.txt"
RWD	= "countries/Rwanda.txt"
SDR	= "countries/Sahrawi Arab Democratic Republic.txt"
SCL	= "countries/Seychelles.txt"
SIE	= "countries/Sierra Leone.txt"
SLL	= "countries/Somaliland.txt"
SEN	= "countries/Senegal.txt"
SOM	= "countries/Somalia.txt"
SSD	= "countries/South Sudan.txt"
SHL	= "countries/Saint Helena.txt"
STP	= "countries/Sao tome e principe.txt"
SUD	= "countries/Sudan.txt"
SWA	= "countries/Swaziland.txt"
TNZ	= "countries/Tanzania.txt"
TDC	= "countries/Tristan da Cunha.txt"
TOG	= "countries/Togo.txt"
TUN	= "countries/Tunisia.txt"
ZMB = "countries/Zambia.txt"
UGD	= "countries/Uganda.txt"
ZIM	= "countries/Zimbabwe.txt"

# Oceania
FJI	= "countries/Fiji.txt"
CKI	= "countries/Cook Islands.txt"
FPO	= "countries/French Polynesia.txt"
GUM	= "countries/Guam.txt"
KIR	= "countries/Kiribati.txt"
MAR	= "countries/Marshall Islands.txt"
MIC	= "countries/Micronesia.txt"
NRU	= "countries/Nauru.txt"
NEW	= "countries/New Caledonia.txt"
NZL	= "countries/New Zealand.txt"
NIU	= "countries/Niue.txt"
NMI	= "countries/Northern Mariana Islands.txt"
PAU	= "countries/Palau.txt"
PAG	= "countries/Papua New Guinea.txt"
PCI	= "countries/Pitcairn Islands.txt"
SMO	= "countries/Samoa.txt"
SLI	= "countries/Solomon Islands.txt"
TON	= "countries/Tonga.txt"
TVA	= "countries/Tuvalu.txt"
VNT	= "countries/Vanuatu.txt"
WAF	= "countries/Wallis and Futuna.txt"

# Breakaway States
CRM	= "countries/Crimea.txt"
VNZ	= "countries/Venice.txt"
CHR	= "countries/Chechen Republic.txt"

# Beta 6
NGK	= "countries/Nagorno Karabakh.txt"
ISS	= "countries/Islamic State.txt"
SAN	= "countries/SAN.txt"
AFU	= "countries/AFU.txt"
DPR	= "countries/Donetsk Peoples Republic.txt"
LPR	= "countries/Luhansk Peoples Republic.txt"
NRS	= "countries/Novorossiya.txt"


##1.2 BUG##
MEN	= "countries/MENBUGFIX.txt"
CHI	= "countries/CHIBUGFIX.txt"
